transcript_id,Brain,Caudate_Nucleus,Cerebellum,Cerebral_Cortex,Corpus_Callosum,Fetal_Brain,Fetal_Spinal_Cord,Frontal_Lobe,Hippocampus,Medulla_Oblongata,Pons,Spinal_Cord,Temporal_Lobe,Thalamus,bladder,blood,colon,heart,kidney,liver,lung,ovary,pancreas,prostate,skeletal_muscle,small_intestine,spleen,stomach,testis,thyroid
ENST00000667660,-6.643856,-2.0150826,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-2.6170561,-6.643856,-6.643856,-6.643856,-6.643856
ENST00000650061,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-1.4371349,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856
ENST00000398612,-1.3819493,-0.4262377,0.80768466,-0.13083926,0.082021266,0.6778014,-0.09912354,0.21151066,-0.03209363,-0.8897704,-0.12500636,-0.66474545,0.27309808,-0.23803397,0.14090951,-6.643856,-1.8551705,-0.6391301,-0.46195856,-6.643856,-1.9845024,-0.98707384,-6.643856,-1.7500086,-0.9965417,-1.1513621,-1.3451979,-2.2209504,-0.46693507,-0.31455317
ENST00000656456,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-2.2142403,-6.643856,-6.643856,-2.0279691,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856
ENST00000518822,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-1.1677986,-2.042754,-6.643856,-6.643856,-6.643856,-0.8323852,-6.643856,0.0069083693,-1.1184137,1.0969365,0.7789655,-1.6933877,-6.643856,-0.5623461,1.4103954,-6.643856,-1.2263411,-0.190174,0.5156115,-0.8879004,0.4282496
ENST00000664965,-6.643856,-6.643856,-6.643856,-6.643856,-2.340806,-2.2142403,-1.9776677,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-2.3125808,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-2.2570453,-6.643856
ENST00000350302,1.6155576,1.7933549,1.4293749,1.5112656,1.7843364,1.3210622,1.9680539,1.7131679,1.614757,1.9828019,1.8409667,1.880137,1.6754998,1.7540324,2.2818465,2.1513393,2.3324215,1.8080143,2.4456208,2.2074869,2.3430667,2.0734432,2.0962281,2.6657112,1.3222166,2.3244073,2.2747388,2.2523854,3.0916152,2.378678
ENST00000633456,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-2.2570453,-6.643856
ENST00000520991,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-2.8666995,-6.643856,-2.0279691,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-2.8520422,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-3.15457,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-2.2570453,-6.643856
ENST00000398560,-0.7658666,-6.643856,-1.2256663,-6.643856,-1.5855397,-6.643856,-0.13099724,-1.564478,-0.5799219,-0.7658666,-6.643856,-0.7114642,-6.643856,-1.2412704,-3.0904956,-2.2068949,-6.643856,-1.6416037,-0.5970596,-6.643856,-6.643856,-0.21173191,-2.2660384,-6.643856,-6.643856,-1.5829442,-2.159718,-1.0209259,1.4281424,-6.643856
ENST00000653453,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-2.2236433,-6.643856,-2.0356383,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856
ENST00000636934,-6.643856,-6.643856,-6.643856,-6.643856,-1.0229766,-6.643856,-2.6223764,-6.643856,-1.6290545,-6.643856,-6.643856,-1.6873348,-6.643856,-1.9495331,-1.5116906,-1.0139167,-6.643856,-6.643856,-0.30703723,-6.643856,-1.5734669,-6.643856,-6.643856,-2.142417,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856
ENST00000308811,0.22008225,-1.4783462,0.39055765,-0.69993484,-2.2182627,0.28794503,-0.24075893,-0.5245,-1.2894746,0.24817048,-0.43537796,-0.49228147,0.09207209,-1.5730375,-0.7166708,-6.643856,0.3615438,-6.643856,-0.46195856,-0.9428617,-1.5734669,-1.432844,-1.3887331,0.17389496,-2.1398716,0.034779157,-6.643856,-2.2209504,1.9031925,-1.1130987
ENST00000517676,0.1071522,-0.66749257,-0.87911725,-0.57561535,-0.37669498,-0.26881677,-0.31061137,-0.27665988,0.23044898,0.07025192,-1.1746213,-2.3936524,-0.06672953,-2.1929748,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-2.3161688,-6.643856,-1.4994019,-3.15457,-6.643856,-6.643856,-6.643856,-2.1209216,-6.643856,-6.643856,-6.643856
ENST00000660212,-1.123434,-6.643856,0.12895322,-1.4035418,-6.643856,-6.643856,-2.8666995,-6.643856,-2.0279691,-2.0356383,-0.3666153,-6.643856,-2.2055633,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856
ENST00000523656,-6.643856,-6.643856,-2.6170561,-2.7958593,-2.340806,-6.643856,-6.643856,-6.643856,-2.0279691,-2.8740845,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-6.643856,-3.5803533,-6.643856,-3.2175915,-6.643856,-2.304006,-6.643856,-2.2508519,-6.643856,-6.643856,-6.643856,-6.643856
